"rank","country","hdi2019","pop2022"
"155","Benin","0.5450","13352.8640"
"156","Uganda","0.5440","47249.5850"
"157","Rwanda","0.5430","13776.6980"
"158","Nigeria","0.5390","218541.2120"
"159","Ivory Coast","0.5380","28160.5420"
"160","Tanzania","0.5290","65497.7480"
"161","Madagascar","0.5280","29611.7140"
"162","Lesotho","0.5270","2305.8250"
"163","Djibouti","0.5240","1120.8490"
"164","Togo","0.5150","8848.6990"
"165","Senegal","0.5120","17316.4490"
"166","Afghanistan","0.5110","41128.7710"
"167","Sudan","0.5100","46874.2040"
"168","Haiti","0.5100","11584.9960"
"169","Gambia","0.4960","2705.9920"
"170","Ethiopia","0.4850","123379.9240"
"171","Malawi","0.4830","20405.3170"
"172","DR Congo","0.4800","99010.2120"
"173","Liberia","0.4800","5302.6810"
"174","Guinea-Bissau","0.4800","2105.5660"
"175","Guinea","0.4770","13859.3410"
"176","Yemen","0.4700","33696.6140"
"177","Eritrea","0.4590","3684.0320"
"178","Mozambique","0.4560","32969.5180"
"179","Burkina Faso","0.4520","22673.7620"
"180","Sierra Leone","0.4520","8605.7180"
"181","Mali","0.4340","22593.5900"
"182","Burundi","0.4330","12889.5760"
"183","South Sudan","0.4330","10913.1640"
"184","Chad","0.3980","17723.3150"
"185","Central African Republic","0.3970","5579.1440"
"186","Niger","0.3940","26207.9770"
